Customer_ID,Product_ID,score,n_events,last_event_date,actions
CUST1000,P5020,1.0,1,2025-09-16,['Browsed']
CUST1000,P5051,3.0,1,2026-04-15,['Added_to_Cart']
CUST1000,P5074,1.0,1,2026-03-08,['Browsed']
CUST1000,P5091,1.0,1,2025-11-22,['Browsed']
CUST1000,P5096,1.0,1,2026-02-17,['Browsed']
CUST1000,P5099,5.0,1,2025-11-21,['Bought']
CUST1000,P5110,3.0,1,2026-05-27,['Added_to_Cart']
CUST1000,P5122,5.0,1,2026-04-20,['Bought']
CUST1000,P5135,1.0,1,2025-10-17,['Browsed']
CUST1000,P5137,1.0,1,2026-04-01,['Browsed']
CUST1001,P5003,1.0,1,2025-11-04,['Browsed']
CUST1001,P5023,3.0,1,2026-03-26,['Added_to_Cart']
CUST1001,P5024,3.0,1,2026-05-29,['Added_to_Cart']
CUST1001,P5060,2.0,1,2026-06-18,['Wishlisted']
CUST1001,P5063,5.0,1,2025-06-24,['Bought']
CUST1001,P5079,5.0,1,2026-04-20,['Bought']
CUST1001,P5091,7.0,2,2026-08-19,"['Bought', 'Reviewed']"
CUST1001,P5092,5.0,2,2025-07-17,"['Bought', 'Support_Contact']"
CUST1001,P5099,5.0,1,2025-12-07,['Bought']
CUST1001,P5107,5.0,1,2025-12-09,['Bought']
CUST1001,P5108,1.0,1,2026-03-13,['Browsed']
CUST1001,P5113,2.0,1,2025-11-11,['Wishlisted']
CUST1001,P5130,1.0,1,2026-02-13,['Browsed']
CUST1002,P5007,1.0,1,2026-02-04,['Browsed']
CUST1002,P5016,1.0,1,2026-06-19,['Browsed']
CUST1002,P5019,1.0,1,2026-08-05,['Browsed']
CUST1002,P5030,5.0,3,2026-08-17,"['Bought', 'Returned', 'Reviewed']"
CUST1002,P5032,3.0,1,2026-06-25,['Added_to_Cart']
CUST1002,P5042,1.0,1,2026-01-16,['Browsed']
CUST1002,P5047,5.0,1,2025-04-22,['Bought']
CUST1002,P5050,1.0,1,2026-05-04,['Browsed']
CUST1002,P5054,6.0,3,2026-08-22,"['Bought', 'Reviewed', 'Support_Contact']"
CUST1002,P5065,5.0,1,2025-08-06,['Bought']
CUST1002,P5073,1.0,1,2026-04-08,['Browsed']
CUST1002,P5091,3.0,3,2026-05-07,"['Bought', 'Returned', 'Reviewed']"
CUST1002,P5127,1.0,1,2026-02-07,['Browsed']
CUST1002,P5128,1.0,1,2026-02-09,['Browsed']
CUST1002,P5135,3.0,1,2026-06-15,['Added_to_Cart']
CUST1002,P5136,2.0,1,2026-03-01,['Wishlisted']
CUST1003,P5011,5.0,1,2025-05-19,['Bought']
CUST1003,P5014,3.0,1,2026-02-10,['Added_to_Cart']
CUST1003,P5022,3.0,3,2026-05-08,"['Bought', 'Returned', 'Support_Contact']"
CUST1003,P5026,1.0,1,2026-03-17,['Browsed']
CUST1003,P5030,5.0,1,2026-01-26,['Bought']
CUST1003,P5036,5.0,1,2025-10-17,['Bought']
CUST1003,P5059,7.0,6,2026-01-28,"['Bought', 'Returned', 'Reviewed']"
CUST1003,P5063,3.0,1,2026-07-30,['Added_to_Cart']
CUST1003,P5066,1.0,1,2026-07-20,['Browsed']
CUST1003,P5085,2.0,1,2026-08-08,['Wishlisted']
CUST1003,P5087,2.0,1,2026-03-05,['Wishlisted']
CUST1003,P5098,1.0,1,2026-03-18,['Browsed']
CUST1003,P5111,3.0,1,2026-05-25,['Added_to_Cart']
CUST1003,P5115,2.0,1,2026-03-19,['Wishlisted']
CUST1003,P5118,1.0,1,2025-11-10,['Browsed']
CUST1003,P5122,1.0,1,2025-09-28,['Browsed']
CUST1003,P5127,7.0,4,2026-05-02,"['Bought', 'Returned', 'Reviewed', 'Support_Contact']"
CUST1004,P5006,2.0,1,2026-04-30,['Wishlisted']
CUST1004,P5022,19.0,8,2026-08-22,"['Added_to_Cart', 'Bought', 'Returned', 'Reviewed', 'Support_Contact']"
CUST1004,P5031,5.0,1,2026-02-12,['Bought']
CUST1004,P5036,3.0,1,2026-07-18,['Added_to_Cart']
CUST1004,P5051,5.0,2,2026-04-19,"['Bought', 'Support_Contact']"
CUST1004,P5058,3.0,1,2026-03-05,['Added_to_Cart']
CUST1004,P5074,10.0,2,2026-03-07,['Bought']
CUST1004,P5078,1.0,1,2026-05-03,['Browsed']
CUST1004,P5084,1.0,1,2026-05-01,['Browsed']
CUST1004,P5106,3.0,2,2025-05-24,"['Bought', 'Returned']"
CUST1004,P5120,2.0,1,2026-03-16,['Wishlisted']
CUST1005,P5005,5.0,1,2025-11-10,['Bought']
CUST1005,P5006,3.0,1,2026-03-30,['Added_to_Cart']
CUST1005,P5009,2.0,2,2026-04-06,['Browsed']
